CsGeBr-CsGeBr.outmol:conduction band edge:    -0.08889 Ha     -2.419 eV
CsGeBr-CsGeF.outmol:conduction band edge:    -0.08804 Ha     -2.396 eV
CsGeBr-CsGeI.outmol:conduction band edge:    -0.08903 Ha     -2.423 eV
CsGeBr-CsPbBr.outmol:conduction band edge:    -0.08805 Ha     -2.396 eV
CsGeBr-CsPbCl.outmol:conduction band edge:    -0.08923 Ha     -2.428 eV
CsGeBr-CsPbF.outmol:conduction band edge:    -0.09402 Ha     -2.558 eV
CsGeBr-CsPbI.outmol:conduction band edge:    -0.09058 Ha     -2.465 eV
CsGeBr-CsSnBr.outmol:conduction band edge:    -0.08899 Ha     -2.422 eV
CsGeBr-CsSnCl.outmol:conduction band edge:    -0.09136 Ha     -2.486 eV
CsGeBr-CsSnF.outmol:conduction band edge:    -0.09180 Ha     -2.498 eV
CsGeBr-CsSnI.outmol:conduction band edge:    -0.09065 Ha     -2.467 eV
CsGeBr-LiPbBr.outmol:conduction band edge:    -0.09545 Ha     -2.597 eV
CsGeBr-LiPbF.outmol:conduction band edge:    -0.12029 Ha     -3.273 eV
CsGeBr-LiPbI.outmol:conduction band edge:    -0.09339 Ha     -2.541 eV
CsGeBr-LiSnBr.outmol:conduction band edge:    -0.09359 Ha     -2.547 eV
CsGeBr-LiSnF.outmol:conduction band edge:    -0.09530 Ha     -2.593 eV
CsGeBr-NaPbBr.outmol:conduction band edge:    -0.09459 Ha     -2.574 eV
CsGeBr-NaPbI.outmol:conduction band edge:    -0.09254 Ha     -2.518 eV
CsGeBr-NaSnBr.outmol:conduction band edge:    -0.09442 Ha     -2.569 eV
CsGeBr-NaSnF.outmol:conduction band edge:    -0.09773 Ha     -2.659 eV
CsGeBr-RbGeBr.outmol:conduction band edge:    -0.08913 Ha     -2.425 eV
CsGeBr-RbGeF.outmol:conduction band edge:    -0.08942 Ha     -2.433 eV
CsGeBr-RbPbBr.outmol:conduction band edge:    -0.08824 Ha     -2.401 eV
CsGeBr-RbPbCl.outmol:conduction band edge:    -0.08956 Ha     -2.437 eV
CsGeBr-RbPbF.outmol:conduction band edge:    -0.09491 Ha     -2.583 eV
CsGeBr-RbPbI.outmol:conduction band edge:    -0.08734 Ha     -2.377 eV
CsGeBr-RbSnBr.outmol:conduction band edge:    -0.09135 Ha     -2.486 eV
CsGeBr-RbSnF.outmol:conduction band edge:    -0.09321 Ha     -2.536 eV
CsGeBr-RbSnI.outmol:conduction band edge:    -0.08593 Ha     -2.338 eV
CsGeCl-CsPbBr.outmol:conduction band edge:    -0.08818 Ha     -2.399 eV
CsGeCl-CsPbF.outmol:conduction band edge:    -0.09077 Ha     -2.470 eV
CsGeCl-CsPbI.outmol:conduction band edge:    -0.08988 Ha     -2.446 eV
CsGeCl-CsSnBr.outmol:conduction band edge:    -0.08794 Ha     -2.393 eV
CsGeCl-CsSnF.outmol:conduction band edge:    -0.08771 Ha     -2.387 eV
CsGeCl-RbPbBr.outmol:conduction band edge:    -0.08823 Ha     -2.401 eV
CsGeCl-RbPbF.outmol:conduction band edge:    -0.09400 Ha     -2.558 eV
CsGeCl-RbSnBr.outmol:conduction band edge:    -0.08539 Ha     -2.323 eV
CsGeCl-RbSnF.outmol:conduction band edge:    -0.08940 Ha     -2.433 eV
CsGeF-CsPbBr.outmol:conduction band edge:    -0.09247 Ha     -2.516 eV
CsGeF-CsPbF.outmol:conduction band edge:    -0.09405 Ha     -2.559 eV
CsGeF-CsPbI.outmol:conduction band edge:    -0.09519 Ha     -2.590 eV
CsGeF-CsSnBr.outmol:conduction band edge:    -0.08566 Ha     -2.331 eV
CsGeF-CsSnF.outmol:conduction band edge:    -0.08809 Ha     -2.397 eV
CsGeF-RbPbBr.outmol:conduction band edge:    -0.09558 Ha     -2.601 eV
CsGeF-RbPbF.outmol:conduction band edge:    -0.09473 Ha     -2.578 eV
CsGeF-RbSnBr.outmol:conduction band edge:    -0.08661 Ha     -2.357 eV
CsGeF-RbSnF.outmol:conduction band edge:    -0.08872 Ha     -2.414 eV
CsGeI-CsPbBr.outmol:conduction band edge:    -0.08942 Ha     -2.433 eV
CsGeI-CsPbF.outmol:conduction band edge:    -0.09281 Ha     -2.525 eV
CsGeI-CsPbI.outmol:conduction band edge:    -0.09060 Ha     -2.465 eV
CsGeI-CsSnBr.outmol:conduction band edge:    -0.09125 Ha     -2.483 eV
CsGeI-CsSnF.outmol:conduction band edge:    -0.09299 Ha     -2.530 eV
CsGeI-RbPbBr.outmol:conduction band edge:    -0.08958 Ha     -2.438 eV
CsGeI-RbPbF.outmol:conduction band edge:    -0.09378 Ha     -2.552 eV
