CsGeBr-CsGeBr.outmol:DFT energy gap:           0.12737 Ha      3.466 eV
CsGeBr-CsGeF.outmol:DFT energy gap:           0.12718 Ha      3.461 eV
CsGeBr-CsGeI.outmol:DFT energy gap:           0.12650 Ha      3.442 eV
CsGeBr-CsPbBr.outmol:DFT energy gap:           0.13099 Ha      3.564 eV
CsGeBr-CsPbCl.outmol:DFT energy gap:           0.13039 Ha      3.548 eV
CsGeBr-CsPbF.outmol:DFT energy gap:           0.12369 Ha      3.366 eV
CsGeBr-CsPbI.outmol:DFT energy gap:           0.12136 Ha      3.302 eV
CsGeBr-CsSnBr.outmol:DFT energy gap:           0.12581 Ha      3.423 eV
CsGeBr-CsSnCl.outmol:DFT energy gap:           0.12205 Ha      3.321 eV
CsGeBr-CsSnF.outmol:DFT energy gap:           0.12222 Ha      3.326 eV
CsGeBr-CsSnI.outmol:DFT energy gap:           0.12075 Ha      3.286 eV
CsGeBr-LiPbBr.outmol:DFT energy gap:           0.11415 Ha      3.106 eV
CsGeBr-LiPbF.outmol:DFT energy gap:           0.06956 Ha      1.893 eV
CsGeBr-LiPbI.outmol:DFT energy gap:           0.11414 Ha      3.106 eV
CsGeBr-LiSnBr.outmol:DFT energy gap:           0.12052 Ha      3.280 eV
CsGeBr-LiSnF.outmol:DFT energy gap:           0.11943 Ha      3.250 eV
CsGeBr-NaPbBr.outmol:DFT energy gap:           0.11974 Ha      3.258 eV
CsGeBr-NaPbI.outmol:DFT energy gap:           0.12197 Ha      3.319 eV
CsGeBr-NaSnBr.outmol:DFT energy gap:           0.11979 Ha      3.260 eV
CsGeBr-NaSnF.outmol:DFT energy gap:           0.11407 Ha      3.104 eV
CsGeBr-RbGeBr.outmol:DFT energy gap:           0.12630 Ha      3.437 eV
CsGeBr-RbGeF.outmol:DFT energy gap:           0.12477 Ha      3.395 eV
CsGeBr-RbPbBr.outmol:DFT energy gap:           0.13006 Ha      3.539 eV
CsGeBr-RbPbCl.outmol:DFT energy gap:           0.12911 Ha      3.513 eV
CsGeBr-RbPbF.outmol:DFT energy gap:           0.12169 Ha      3.311 eV
CsGeBr-RbPbI.outmol:DFT energy gap:           0.13052 Ha      3.552 eV
CsGeBr-RbSnBr.outmol:DFT energy gap:           0.12116 Ha      3.297 eV
CsGeBr-RbSnF.outmol:DFT energy gap:           0.11935 Ha      3.248 eV
CsGeBr-RbSnI.outmol:DFT energy gap:           0.12905 Ha      3.512 eV
CsGeCl-CsPbBr.outmol:DFT energy gap:           0.13434 Ha      3.656 eV
CsGeCl-CsPbF.outmol:DFT energy gap:           0.13514 Ha      3.677 eV
CsGeCl-CsPbI.outmol:DFT energy gap:           0.12795 Ha      3.482 eV
CsGeCl-CsSnBr.outmol:DFT energy gap:           0.13078 Ha      3.559 eV
CsGeCl-CsSnF.outmol:DFT energy gap:           0.13117 Ha      3.569 eV
CsGeCl-RbPbBr.outmol:DFT energy gap:           0.13363 Ha      3.636 eV
CsGeCl-RbPbF.outmol:DFT energy gap:           0.12660 Ha      3.445 eV
CsGeCl-RbSnBr.outmol:DFT energy gap:           0.13290 Ha      3.616 eV
CsGeCl-RbSnF.outmol:DFT energy gap:           0.12829 Ha      3.491 eV
CsGeF-CsPbBr.outmol:DFT energy gap:           0.11406 Ha      3.104 eV
CsGeF-CsPbF.outmol:DFT energy gap:           0.11628 Ha      3.164 eV
CsGeF-CsPbI.outmol:DFT energy gap:           0.10286 Ha      2.799 eV
CsGeF-CsSnBr.outmol:DFT energy gap:           0.13415 Ha      3.650 eV
CsGeF-CsSnF.outmol:DFT energy gap:           0.13464 Ha      3.664 eV
CsGeF-RbPbBr.outmol:DFT energy gap:           0.10532 Ha      2.866 eV
CsGeF-RbPbF.outmol:DFT energy gap:           0.11417 Ha      3.107 eV
CsGeF-RbSnBr.outmol:DFT energy gap:           0.13206 Ha      3.594 eV
CsGeF-RbSnF.outmol:DFT energy gap:           0.13334 Ha      3.628 eV
CsGeI-CsPbBr.outmol:DFT energy gap:           0.12168 Ha      3.311 eV
CsGeI-CsPbF.outmol:DFT energy gap:           0.11486 Ha      3.126 eV
CsGeI-CsPbI.outmol:DFT energy gap:           0.11363 Ha      3.092 eV
CsGeI-CsSnBr.outmol:DFT energy gap:           0.11544 Ha      3.141 eV
CsGeI-CsSnF.outmol:DFT energy gap:           0.11403 Ha      3.103 eV
CsGeI-RbPbBr.outmol:DFT energy gap:           0.12110 Ha      3.295 eV
CsGeI-RbPbF.outmol:DFT energy gap:           0.11238 Ha      3.058 eV
CsGeI-RbSnBr.outmol:DFT energy gap:           0.11372 Ha      3.094 eV
CsGeI-RbSnF.outmol:DFT energy gap:           0.11186 Ha      3.044 eV
CsPbBr-CsGeBr.outmol:DFT energy gap:           0.12385 Ha      3.370 eV
CsPbBr-CsGeF.outmol:DFT energy gap:           0.12555 Ha      3.417 eV
CsPbBr-CsGeI.outmol:DFT energy gap:           0.12290 Ha      3.344 eV
CsPbBr-CsPbBr.outmol:DFT energy gap:           0.13156 Ha      3.580 eV
CsPbBr-CsPbCl.outmol:DFT energy gap:           0.12511 Ha      3.405 eV
CsPbBr-CsPbF.outmol:DFT energy gap:           0.11194 Ha      3.046 eV
CsPbBr-CsPbI.outmol:DFT energy gap:           0.12441 Ha      3.385 eV
CsPbBr-CsSnBr.outmol:DFT energy gap:           0.12504 Ha      3.402 eV
CsPbBr-CsSnCl.outmol:DFT energy gap:           0.12395 Ha      3.373 eV
CsPbBr-CsSnF.outmol:DFT energy gap:           0.11061 Ha      3.010 eV
CsPbBr-CsSnI.outmol:DFT energy gap:           0.12254 Ha      3.335 eV
CsPbBr-KPbBr.outmol:DFT energy gap:           0.13086 Ha      3.561 eV
CsPbBr-KPbF.outmol:DFT energy gap:           0.10861 Ha      2.955 eV
CsPbBr-KPbI.outmol:DFT energy gap:           0.13331 Ha      3.628 eV
CsPbBr-KSnBr.outmol:DFT energy gap:           0.12287 Ha      3.344 eV
CsPbBr-KSnF.outmol:DFT energy gap:           0.11148 Ha      3.033 eV
CsPbBr-LiPbBr.outmol:DFT energy gap:           0.06446 Ha      1.754 eV
CsPbBr-LiPbF.outmol:DFT energy gap:           0.05743 Ha      1.563 eV
CsPbBr-LiPbI.outmol:DFT energy gap:           0.06699 Ha      1.823 eV
CsPbBr-LiSnBr.outmol:DFT energy gap:           0.11725 Ha      3.191 eV
CsPbBr-LiSnF.outmol:DFT energy gap:           0.11489 Ha      3.126 eV
CsPbBr-NaPbBr.outmol:DFT energy gap:           0.10503 Ha      2.858 eV
CsPbBr-NaPbF.outmol:DFT energy gap:           0.07560 Ha      2.057 eV
CsPbBr-NaPbI.outmol:DFT energy gap:           0.12056 Ha      3.280 eV
CsPbBr-NaSnBr.outmol:DFT energy gap:           0.11654 Ha      3.171 eV
CsPbBr-NaSnF.outmol:DFT energy gap:           0.10751 Ha      2.926 eV
CsPbBr-RbGeBr.outmol:DFT energy gap:           0.12273 Ha      3.340 eV
CsPbBr-RbGeF.outmol:DFT energy gap:           0.12260 Ha      3.336 eV
CsPbBr-RbPbBr.outmol:DFT energy gap:           0.13074 Ha      3.558 eV
CsPbBr-RbPbCl.outmol:DFT energy gap:           0.11679 Ha      3.178 eV
CsPbBr-RbPbF.outmol:DFT energy gap:           0.10856 Ha      2.954 eV
CsPbBr-RbPbI.outmol:DFT energy gap:           0.13305 Ha      3.621 eV
CsPbBr-RbSnBr.outmol:DFT energy gap:           0.12414 Ha      3.378 eV
CsPbBr-RbSnCl.outmol:DFT energy gap:           0.12293 Ha      3.345 eV
CsPbBr-RbSnF.outmol:DFT energy gap:           0.11411 Ha      3.105 eV
CsPbBr-RbSnI.outmol:DFT energy gap:           0.12761 Ha      3.473 eV
CsPbCl-CsPbBr.outmol:DFT energy gap:           0.13254 Ha      3.607 eV
CsPbCl-CsPbF.outmol:DFT energy gap:           0.11640 Ha      3.168 eV
CsPbCl-CsPbI.outmol:DFT energy gap:           0.12757 Ha      3.471 eV
CsPbCl-CsSnBr.outmol:DFT energy gap:           0.13314 Ha      3.623 eV
CsPbCl-CsSnF.outmol:DFT energy gap:           0.12038 Ha      3.276 eV
CsPbCl-RbPbBr.outmol:DFT energy gap:           0.13186 Ha      3.588 eV
CsPbCl-RbPbF.outmol:DFT energy gap:           0.10428 Ha      2.838 eV
CsPbCl-RbSnBr.outmol:DFT energy gap:           0.13197 Ha      3.591 eV
CsPbCl-RbSnF.outmol:DFT energy gap:           0.11708 Ha      3.186 eV
CsPbF-CsPbBr.outmol:DFT energy gap:           0.13089 Ha      3.562 eV
CsPbF-CsPbF.outmol:DFT energy gap:           0.11701 Ha      3.184 eV
CsPbF-CsPbI.outmol:DFT energy gap:           0.12492 Ha      3.399 eV
CsPbF-CsSnBr.outmol:DFT energy gap:           0.13615 Ha      3.705 eV
CsPbF-CsSnF.outmol:DFT energy gap:           0.13358 Ha      3.635 eV
CsPbF-RbPbBr.outmol:DFT energy gap:           0.12065 Ha      3.283 eV
CsPbF-RbPbF.outmol:DFT energy gap:           0.11525 Ha      3.136 eV
CsPbF-RbSnBr.outmol:DFT energy gap:           0.13250 Ha      3.605 eV
CsPbF-RbSnF.outmol:DFT energy gap:           0.12518 Ha      3.406 eV
CsPbI-CsPbBr.outmol:DFT energy gap:           0.11724 Ha      3.190 eV
CsPbI-CsPbF.outmol:DFT energy gap:           0.11027 Ha      3.001 eV
CsPbI-CsPbI.outmol:DFT energy gap:           0.11671 Ha      3.176 eV
CsPbI-CsSnBr.outmol:DFT energy gap:           0.11624 Ha      3.163 eV
CsPbI-CsSnF.outmol:DFT energy gap:           0.11437 Ha      3.112 eV
CsPbI-RbPbBr.outmol:DFT energy gap:           0.11735 Ha      3.193 eV
CsPbI-RbPbF.outmol:DFT energy gap:           0.10790 Ha      2.936 eV
CsPbI-RbSnBr.outmol:DFT energy gap:           0.11561 Ha      3.146 eV
CsPbI-RbSnF.outmol:DFT energy gap:           0.11209 Ha      3.050 eV
CsSnBr-CsPbBr.outmol:DFT energy gap:           0.12749 Ha      3.469 eV
CsSnBr-CsPbF.outmol:DFT energy gap:           0.12312 Ha      3.350 eV
CsSnBr-CsPbI.outmol:DFT energy gap:           0.12851 Ha      3.497 eV
CsSnBr-CsSnBr.outmol:DFT energy gap:           0.12318 Ha      3.352 eV
CsSnBr-CsSnF.outmol:DFT energy gap:           0.12539 Ha      3.412 eV
CsSnBr-RbPbBr.outmol:DFT energy gap:           0.12028 Ha      3.273 eV
CsSnBr-RbPbF.outmol:DFT energy gap:           0.12041 Ha      3.276 eV
CsSnBr-RbSnBr.outmol:DFT energy gap:           0.12151 Ha      3.306 eV
CsSnBr-RbSnF.outmol:DFT energy gap:           0.10856 Ha      2.954 eV
KGeBr-CsPbBr.outmol:DFT energy gap:           0.12964 Ha      3.528 eV
KGeBr-CsPbF.outmol:DFT energy gap:           0.12763 Ha      3.473 eV
KGeBr-CsPbI.outmol:DFT energy gap:           0.12104 Ha      3.294 eV
KGeBr-CsSnBr.outmol:DFT energy gap:           0.12319 Ha      3.352 eV
KGeBr-CsSnF.outmol:DFT energy gap:           0.12410 Ha      3.377 eV
KGeBr-RbPbBr.outmol:DFT energy gap:           0.12883 Ha      3.506 eV
KGeBr-RbPbF.outmol:DFT energy gap:           0.09903 Ha      2.695 eV
KGeBr-RbSnBr.outmol:DFT energy gap:           0.12170 Ha      3.312 eV
KGeBr-RbSnF.outmol:DFT energy gap:           0.11771 Ha      3.203 eV
KPbBr-CsPbBr.outmol:DFT energy gap:           0.11035 Ha      3.003 eV
KPbBr-CsPbF.outmol:DFT energy gap:           0.09774 Ha      2.660 eV
KPbBr-CsPbI.outmol:DFT energy gap:           0.11586 Ha      3.153 eV
KPbBr-CsSnBr.outmol:DFT energy gap:           0.11688 Ha      3.180 eV
KPbBr-CsSnF.outmol:DFT energy gap:           0.10166 Ha      2.766 eV
KPbBr-RbPbBr.outmol:DFT energy gap:           0.08656 Ha      2.355 eV
KPbBr-RbPbF.outmol:DFT energy gap:           0.07838 Ha      2.133 eV
KPbBr-RbSnBr.outmol:DFT energy gap:           0.10098 Ha      2.748 eV
KPbBr-RbSnF.outmol:DFT energy gap:           0.09064 Ha      2.467 eV
LiGeBr-CsPbBr.outmol:DFT energy gap:           0.12644 Ha      3.441 eV
LiGeBr-CsPbF.outmol:DFT energy gap:           0.10683 Ha      2.907 eV
LiGeBr-CsPbI.outmol:DFT energy gap:           0.11673 Ha      3.176 eV
LiGeBr-CsSnBr.outmol:DFT energy gap:           0.10841 Ha      2.950 eV
LiGeBr-CsSnF.outmol:DFT energy gap:           0.11795 Ha      3.209 eV
LiGeBr-RbPbBr.outmol:DFT energy gap:           0.12469 Ha      3.393 eV
LiGeBr-RbPbF.outmol:DFT energy gap:           0.08761 Ha      2.384 eV
LiGeBr-RbSnBr.outmol:DFT energy gap:           0.09504 Ha      2.586 eV
LiGeBr-RbSnF.outmol:DFT energy gap:           0.11014 Ha      2.997 eV
LiPbBr-CsPbBr.outmol:DFT energy gap:           0.06808 Ha      1.852 eV
LiPbBr-CsPbF.outmol:DFT energy gap:           0.07738 Ha      2.106 eV
LiPbBr-CsPbI.outmol:DFT energy gap:           0.06861 Ha      1.867 eV
LiPbBr-CsSnBr.outmol:DFT energy gap:           0.08553 Ha      2.328 eV
LiPbBr-RbPbF.outmol:DFT energy gap:           0.07328 Ha      1.994 eV
LiPbBr-RbSnBr.outmol:DFT energy gap:           0.07174 Ha      1.952 eV
LiPbBr-RbSnF.outmol:DFT energy gap:           0.08553 Ha      2.327 eV
NaGeBr-CsPbBr.outmol:DFT energy gap:           0.12515 Ha      3.406 eV
NaGeBr-CsPbF.outmol:DFT energy gap:           0.12920 Ha      3.516 eV
NaGeBr-CsSnBr.outmol:DFT energy gap:           0.12010 Ha      3.268 eV
NaGeBr-CsSnF.outmol:DFT energy gap:           0.11567 Ha      3.147 eV
NaGeBr-RbPbBr.outmol:DFT energy gap:           0.12359 Ha      3.363 eV
NaGeBr-RbPbF.outmol:DFT energy gap:           0.08760 Ha      2.384 eV
NaGeBr-RbSnBr.outmol:DFT energy gap:           0.10577 Ha      2.878 eV
NaGeBr-RbSnF.outmol:DFT energy gap:           0.10527 Ha      2.865 eV
NaPbBr-CsPbBr.outmol:DFT energy gap:           0.11956 Ha      3.253 eV
NaPbBr-CsPbF.outmol:DFT energy gap:           0.08070 Ha      2.196 eV
NaPbBr-CsPbI.outmol:DFT energy gap:           0.11992 Ha      3.263 eV
NaPbBr-CsSnBr.outmol:DFT energy gap:           0.10102 Ha      2.749 eV
NaPbBr-CsSnF.outmol:DFT energy gap:           0.09346 Ha      2.543 eV
NaPbBr-RbPbBr.outmol:DFT energy gap:           0.11850 Ha      3.225 eV
NaPbBr-RbPbF.outmol:DFT energy gap:           0.07083 Ha      1.927 eV
NaPbBr-RbSnBr.outmol:DFT energy gap:           0.09077 Ha      2.470 eV
NaPbBr-RbSnF.outmol:DFT energy gap:           0.08445 Ha      2.298 eV
NaPbBr-RbSnI.outmol:DFT energy gap:           0.09104 Ha      2.477 eV
