,2D-A,2D-B,2D-X,3D-A,3D-B,3D-X
0,Cs,Ge,Br,Cs,Ge,Br
1,Cs,Ge,Br,Cs,Ge,F
2,Cs,Ge,Br,Cs,Ge,I
3,Cs,Ge,Br,Cs,Pb,Br
4,Cs,Ge,Br,Cs,Pb,Cl
5,Cs,Ge,Br,Cs,Pb,F
6,Cs,Ge,Br,Cs,Pb,I
7,Cs,Ge,Br,Cs,Sn,Br
8,Cs,Ge,Br,Cs,Sn,Cl
9,Cs,Ge,Br,Cs,Sn,F
10,Cs,Ge,Br,Cs,Sn,I
11,Cs,Ge,Br,Li,Pb,Br
12,Cs,Ge,Br,Li,Pb,F
13,Cs,Ge,Br,Li,Pb,I
14,Cs,Ge,Br,Li,Sn,Br
15,Cs,Ge,Br,Li,Sn,F
16,Cs,Ge,Br,Na,Pb,Br
17,Cs,Ge,Br,Na,Pb,I
18,Cs,Ge,Br,Na,Sn,Br
19,Cs,Ge,Br,Na,Sn,F
20,Cs,Ge,Br,Rb,Ge,Br
21,Cs,Ge,Br,Rb,Ge,F
22,Cs,Ge,Br,Rb,Pb,Br
23,Cs,Ge,Br,Rb,Pb,Cl
24,Cs,Ge,Br,Rb,Pb,F
25,Cs,Ge,Br,Rb,Pb,I
26,Cs,Ge,Br,Rb,Sn,Br
27,Cs,Ge,Br,Rb,Sn,F
28,Cs,Ge,Br,Rb,Sn,I
29,Cs,Ge,Cl,Cs,Pb,Br
30,Cs,Ge,Cl,Cs,Pb,F
31,Cs,Ge,Cl,Cs,Pb,I
32,Cs,Ge,Cl,Cs,Sn,Br
33,Cs,Ge,Cl,Cs,Sn,F
34,Cs,Ge,Cl,Rb,Pb,Br
35,Cs,Ge,Cl,Rb,Pb,F
36,Cs,Ge,Cl,Rb,Sn,Br
37,Cs,Ge,Cl,Rb,Sn,F
38,Cs,Ge,F,Cs,Pb,Br
39,Cs,Ge,F,Cs,Pb,F
40,Cs,Ge,F,Cs,Pb,I
41,Cs,Ge,F,Cs,Sn,Br
42,Cs,Ge,F,Cs,Sn,F
43,Cs,Ge,F,Rb,Pb,Br
44,Cs,Ge,F,Rb,Pb,F
45,Cs,Ge,F,Rb,Sn,Br
46,Cs,Ge,F,Rb,Sn,F
47,Cs,Ge,I,Cs,Pb,Br
48,Cs,Ge,I,Cs,Pb,F
49,Cs,Ge,I,Cs,Pb,I
