,Unnamed: 0,2D-A,2D-B,2D-X,3D-A,3D-B,3D-X,2D-A NumberofProtons,2D-A NumberofNeutrons,2D-A NumberofShells,2D-A SpecificHeat,2D-A Density,2D-A Ion Radius,2D-A FirstIonization,2D-A AtomicMass,2D-A MeltingPoint,2D-B NumberofProtons,2D-B NumberofNeutrons,2D-B NumberofShells,2D-B SpecificHeat,2D-B Density,2D-B Ion Radius,2D-B FirstIonization,2D-B AtomicMass,2D-B MeltingPoint,2D-X NumberofProtons,2D-X NumberofNeutrons,2D-X NumberofShells,2D-X SpecificHeat,2D-X Density,2D-X Ion Radius,2D-X FirstIonization,2D-X AtomicMass,2D-X MeltingPoint,3D-A NumberofProtons,3D-A NumberofNeutrons,3D-A NumberofShells,3D-A SpecificHeat,3D-A Density,3D-A Ion Radius,3D-A FirstIonization,3D-A AtomicMass,3D-A MeltingPoint,3D-B NumberofProtons,3D-B NumberofNeutrons,3D-B NumberofShells,3D-B SpecificHeat,3D-B Density,3D-B Ion Radius,3D-B FirstIonization,3D-B AtomicMass,3D-B MeltingPoint,3D-X NumberofProtons,3D-X NumberofNeutrons,3D-X NumberofShells,3D-X SpecificHeat,3D-X Density,3D-X Ion Radius,3D-X FirstIonization,3D-X AtomicMass,3D-X MeltingPoint
0,0,Cs,Ge,Br,Cs,Ge,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
1,1,Cs,Ge,Br,Cs,Ge,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
2,2,Cs,Ge,Br,Cs,Ge,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
3,3,Cs,Ge,Br,Cs,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
4,4,Cs,Ge,Br,Cs,Pb,Cl,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31
5,5,Cs,Ge,Br,Cs,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
6,6,Cs,Ge,Br,Cs,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
7,7,Cs,Ge,Br,Cs,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
8,8,Cs,Ge,Br,Cs,Sn,Cl,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31
9,9,Cs,Ge,Br,Cs,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
