CsGeBr-CsGeBr.outmol:valence band edge:       -0.21626 Ha     -5.885 eV
CsGeBr-CsGeF.outmol:valence band edge:       -0.21522 Ha     -5.856 eV
CsGeBr-CsGeI.outmol:valence band edge:       -0.21553 Ha     -5.865 eV
CsGeBr-CsPbBr.outmol:valence band edge:       -0.21904 Ha     -5.960 eV
CsGeBr-CsPbCl.outmol:valence band edge:       -0.21961 Ha     -5.976 eV
CsGeBr-CsPbF.outmol:valence band edge:       -0.21771 Ha     -5.924 eV
CsGeBr-CsPbI.outmol:valence band edge:       -0.21194 Ha     -5.767 eV
CsGeBr-CsSnBr.outmol:valence band edge:       -0.21480 Ha     -5.845 eV
CsGeBr-CsSnCl.outmol:valence band edge:       -0.21341 Ha     -5.807 eV
CsGeBr-CsSnF.outmol:valence band edge:       -0.21402 Ha     -5.824 eV
CsGeBr-CsSnI.outmol:valence band edge:       -0.21139 Ha     -5.752 eV
CsGeBr-LiPbBr.outmol:valence band edge:       -0.20960 Ha     -5.704 eV
CsGeBr-LiPbF.outmol:valence band edge:       -0.18985 Ha     -5.166 eV
CsGeBr-LiPbI.outmol:valence band edge:       -0.20753 Ha     -5.647 eV
CsGeBr-LiSnBr.outmol:valence band edge:       -0.21412 Ha     -5.826 eV
CsGeBr-LiSnF.outmol:valence band edge:       -0.21473 Ha     -5.843 eV
CsGeBr-NaPbBr.outmol:valence band edge:       -0.21434 Ha     -5.832 eV
CsGeBr-NaPbI.outmol:valence band edge:       -0.21451 Ha     -5.837 eV
CsGeBr-NaSnBr.outmol:valence band edge:       -0.21421 Ha     -5.829 eV
CsGeBr-NaSnF.outmol:valence band edge:       -0.21180 Ha     -5.763 eV
CsGeBr-RbGeBr.outmol:valence band edge:       -0.21543 Ha     -5.862 eV
CsGeBr-RbGeF.outmol:valence band edge:       -0.21418 Ha     -5.828 eV
CsGeBr-RbPbBr.outmol:valence band edge:       -0.21829 Ha     -5.940 eV
CsGeBr-RbPbCl.outmol:valence band edge:       -0.21867 Ha     -5.950 eV
CsGeBr-RbPbF.outmol:valence band edge:       -0.21660 Ha     -5.894 eV
CsGeBr-RbPbI.outmol:valence band edge:       -0.21786 Ha     -5.928 eV
CsGeBr-RbSnBr.outmol:valence band edge:       -0.21250 Ha     -5.783 eV
CsGeBr-RbSnF.outmol:valence band edge:       -0.21255 Ha     -5.784 eV
CsGeBr-RbSnI.outmol:valence band edge:       -0.21498 Ha     -5.850 eV
CsGeCl-CsPbBr.outmol:valence band edge:       -0.22252 Ha     -6.055 eV
CsGeCl-CsPbF.outmol:valence band edge:       -0.22591 Ha     -6.147 eV
CsGeCl-CsPbI.outmol:valence band edge:       -0.21783 Ha     -5.928 eV
CsGeCl-CsSnBr.outmol:valence band edge:       -0.21872 Ha     -5.952 eV
CsGeCl-CsSnF.outmol:valence band edge:       -0.21888 Ha     -5.956 eV
CsGeCl-RbPbBr.outmol:valence band edge:       -0.22186 Ha     -6.037 eV
CsGeCl-RbPbF.outmol:valence band edge:       -0.22060 Ha     -6.003 eV
CsGeCl-RbSnBr.outmol:valence band edge:       -0.21829 Ha     -5.940 eV
CsGeCl-RbSnF.outmol:valence band edge:       -0.21769 Ha     -5.924 eV
CsGeF-CsPbBr.outmol:valence band edge:       -0.20653 Ha     -5.620 eV
CsGeF-CsPbF.outmol:valence band edge:       -0.21033 Ha     -5.723 eV
CsGeF-CsPbI.outmol:valence band edge:       -0.19805 Ha     -5.389 eV
CsGeF-CsSnBr.outmol:valence band edge:       -0.21981 Ha     -5.981 eV
CsGeF-CsSnF.outmol:valence band edge:       -0.22272 Ha     -6.061 eV
CsGeF-RbPbBr.outmol:valence band edge:       -0.20090 Ha     -5.467 eV
CsGeF-RbPbF.outmol:valence band edge:       -0.20890 Ha     -5.684 eV
CsGeF-RbSnBr.outmol:valence band edge:       -0.21868 Ha     -5.951 eV
CsGeF-RbSnF.outmol:valence band edge:       -0.22206 Ha     -6.043 eV
CsGeI-CsPbBr.outmol:valence band edge:       -0.21109 Ha     -5.744 eV
CsGeI-CsPbF.outmol:valence band edge:       -0.20767 Ha     -5.651 eV
CsGeI-CsPbI.outmol:valence band edge:       -0.20422 Ha     -5.557 eV
CsGeI-CsSnBr.outmol:valence band edge:       -0.20669 Ha     -5.624 eV
CsGeI-CsSnF.outmol:valence band edge:       -0.20702 Ha     -5.633 eV
CsGeI-RbPbBr.outmol:valence band edge:       -0.21068 Ha     -5.733 eV
CsGeI-RbPbF.outmol:valence band edge:       -0.20616 Ha     -5.610 eV
CsGeI-RbSnBr.outmol:valence band edge:       -0.20548 Ha     -5.591 eV
CsGeI-RbSnF.outmol:valence band edge:       -0.20579 Ha     -5.600 eV
CsPbBr-CsGeBr.outmol:valence band edge:       -0.21818 Ha     -5.937 eV
CsPbBr-CsGeF.outmol:valence band edge:       -0.22049 Ha     -6.000 eV
CsPbBr-CsGeI.outmol:valence band edge:       -0.21714 Ha     -5.909 eV
CsPbBr-CsPbBr.outmol:valence band edge:       -0.22165 Ha     -6.031 eV
CsPbBr-CsPbCl.outmol:valence band edge:       -0.21783 Ha     -5.927 eV
CsPbBr-CsPbF.outmol:valence band edge:       -0.20925 Ha     -5.694 eV
CsPbBr-CsPbI.outmol:valence band edge:       -0.21591 Ha     -5.875 eV
CsPbBr-CsSnBr.outmol:valence band edge:       -0.21701 Ha     -5.905 eV
CsPbBr-CsSnCl.outmol:valence band edge:       -0.21706 Ha     -5.906 eV
CsPbBr-CsSnF.outmol:valence band edge:       -0.20961 Ha     -5.704 eV
CsPbBr-CsSnI.outmol:valence band edge:       -0.21510 Ha     -5.853 eV
